vendor name,price,region,country,postal code,sector,latitude,longitude
Hart & Main,10656.0,Los Angeles,US,91321 US,Banquet Halls,34.38645930758621,-118.53390419586208
Quiet Cannon,6985.0,Los Angeles,US,90640 US,Banquet Halls,34.013438452857145,-118.11610529100001
Pomona Valley Mining Company,7401.0,Los Angeles,US,91768 US,Banquet Halls,34.06783579737533,-117.77735466745408
Vertigo Event Venue,30000.0,Los Angeles,US,91202 US,Banquet Halls,34.16225534137931,-118.2632280413793
Maravilla Gardens,16446.0,Santa Barbara,US,93012 US,Barn & Farm Weddings,34.20900413076923,-119.01648697307692
Lindley Scott House,8988.0,Los Angeles,US,91702 US,Mansion Weddings,34.1271978136612,-117.9063437777049
The University Club of Pasadena,9561.0,Los Angeles,US,91101 US,Banquet Halls,34.14676795675676,-118.14045537657657
L.A. Banquets - Brandview Ballroom,7126.0,Los Angeles,US,91205 US,Banquet Halls,34.13767140689655,-118.24680126034484
DoubleTree by Hilton Hotel Los Angeles Downtown,10551.0,Los Angeles,US,90012 US,Hotel Weddings,34.05773158432432,-118.23916235297298
The Garland,18954.0,Los Angeles,US,91602 US,Hotel Weddings,34.153656603448276,-118.36693539137931
Porter Valley Country Club,11788.0,Los Angeles,US,91326 US,Country Club Weddings,34.292601241266375,-118.5496179956332
The Queen Mary,13131.0,Los Angeles,US,90802 US,Banquet Halls,33.76576581898455,-118.19266787637969
Knollwood Country Club,9446.0,Los Angeles,US,91344 US,Country Club Weddings,34.27583948214286,-118.4935496125
Almansor Court,7073.0,Los Angeles,US,91801 US,Banquet Halls,34.089122628571424,-118.12635941071429
L.A. Banquets - Glenoaks Ballroom,8748.0,Los Angeles,US,91201 US,Banquet Halls,34.167989002702704,-118.28489877297297
Coco Palms Restaurant,10652.0,Los Angeles,US,91768 US,Restaurant Weddings,34.06783579737533,-117.77735466745408
The Portofino Hotel & Marina,25636.0,Los Angeles,US,90277 US,Hotel Weddings,33.81448589406282,-118.38299969658267
Inn of the Seventh Ray,20918.0,Los Angeles,US,90290 US,Restaurant Weddings,34.10072930336135,-118.60676123445377
NOOR,16496.0,Los Angeles,US,91101 US,Banquet Halls,34.14676795675676,-118.14045537657657
Hilton Los Angeles Airport,6999.0,Los Angeles,US,90045 US,Hotel Weddings,33.965734812206925,-118.39911225567863
The Oaks Club at Valencia,10414.0,Los Angeles,US,91381 US,Country Club Weddings,34.406491385636116,-118.58673965335157
Brookside Golf Club,7728.0,Los Angeles,US,91103 US,Country Club Weddings,34.15907481603774,-118.15256458679245
The Padua Hills Theatre,17744.0,Los Angeles,US,91711 US,Banquet Halls,34.10659472519971,-117.72115320820625
Chloe's at Golden Road Brewing,7489.0,Los Angeles,US,90039 US,Winery Weddings,34.1149005117647,-118.26427258941176
Long Beach Museum of Art,20462.0,Los Angeles,US,90803 US,Museum Weddings,33.76119092720365,-118.13369292705167
Malibu West Beach Club,6463.0,Los Angeles,US,90265 US,Country Club Weddings,34.044383014285714,-118.74397488342858
Skirball Cultural Center,17729.0,Los Angeles,US,90049 US,Museum Weddings,34.07402186312057,-118.46912487234042
Madera Kitchen,20731.0,Los Angeles,US,90028 US,Restaurant Weddings,34.10054144140351,-118.33108708210526
Santuari Restaurant,11185.0,Los Angeles,US,90068 US,Restaurant Weddings,34.1189499,-118.33176511612903
Palos Verdes Golf Club,22264.0,Los Angeles,US,90274 US,Country Club Weddings,33.78079696619318,-118.37584582698862
The Los Angeles Athletic Club,20356.0,Los Angeles,US,90014 US,Banquet Halls,34.04313982347418,-118.25204960892019
Duke's Malibu,12592.0,Los Angeles,US,90265 US,Restaurant Weddings,34.044383014285714,-118.74397488342858
Trump National Golf Club Los Angeles,29760.0,Los Angeles,US,90275 US,Country Club Weddings,33.76310654175304,-118.36367914476521
